row,field,action,value
2,alt_text_en,cleaned_existing,Zeus - The King Of The Gods (the olympians zeus). portrait of Zeus Gold.
3,alt_text_en,cleaned_existing,Posiedon (the olympians posiedon). portrait of Posiedon
4,alt_text_en,cleaned_existing,Ares (the olympians ares). portrait of Ares
5,alt_text_en,cleaned_existing,HADES (the olympians hades). portrait of HADES
6,alt_text_en,cleaned_existing,Aphrodite (the olympians aphrodite). portrait of Aphrodite
7,alt_text_en,cleaned_existing,Apollo (the olympians apollo). portrait of Apollo
8,alt_text_en,cleaned_existing,Athena (the olympians athena). portrait of Athena
9,alt_text_en,cleaned_existing,Hera (the olympians hera). portrait of Hera
10,alt_text_en,cleaned_existing,Hermes (the olympians hermes). portrait of Hermes
11,alt_text_en,cleaned_existing,Artemis (the olympians artemis). portrait of Artemis
12,alt_text_en,cleaned_existing,Hephaestus (the olympians hephaestus). portrait of Hephaestus
13,alt_text_en,cleaned_existing,Hestia (the olympians hestia). portrait of Hestia